Experiment started: 2025-03-26 17:56:48
Initial parameters:
ALPHA=0,0100;BETA=5,0000;RHO=0,8500;Q=10,00;TAU_0=0,5000;P_0=0,1000;NUM_ANTS=75;MAX_ITERATIONS=1000

Parameter;Value;RunNumber;Length;ComputationTime(s)
ALPHA;0,0010;1;11274,00;4,985
ALPHA;0,0010;2;11514,00;4,992

=== New Experiment ===
Started: 2025-03-26 17:58:30
Initial parameters:
ALPHA=0,0100;BETA=5,0000;RHO=0,8500;Q=10,00;TAU_0=0,5000;P_0=0,1000;NUM_ANTS=75;MAX_ITERATIONS=1000

BETA;1,5000;1;11514,00;2,762
BETA;1,5000;2;11481,00;2,776
BETA;1,5000;3;11481,00;2,764
BETA;1,5000;4;11481,00;2,596
BETA;1,5000;5;11627,00;2,824
BETA;1,5000;6;11784,00;2,623
BETA;1,5000;7;11526,00;2,855
BETA;1,5000;8;11597,00;2,769
BETA;1,5000;9;11481,00;2,575
BETA;1,5000;10;11894,00;2,676
BETA;2,0000;1;11319,00;2,575
BETA;2,0000;2;11894,00;2,579
BETA;2,0000;3;11627,00;2,481
BETA;2,0000;4;11526,00;2,561
BETA;2,0000;5;11894,00;2,681
BETA;2,0000;6;11308,00;2,671
BETA;2,0000;7;11232,00;2,657
BETA;2,0000;8;11526,00;2,648
BETA;2,0000;9;11456,00;2,528
BETA;2,0000;10;11481,00;2,809
BETA;3,0000;1;11481,00;2,640
BETA;3,0000;2;11243,00;2,679
BETA;3,0000;3;11514,00;3,064
BETA;3,0000;4;11514,00;2,517
BETA;3,0000;5;11526,00;2,895
BETA;3,0000;6;11627,00;2,762
BETA;3,0000;7;11826,00;2,833
BETA;3,0000;8;11426,00;2,765
BETA;3,0000;9;11574,00;2,856
BETA;3,0000;10;11627,00;2,639
BETA;4,0000;1;11514,00;2,700
BETA;4,0000;2;11481,00;2,739
BETA;4,0000;3;11787,00;2,779
BETA;4,0000;4;11216,00;2,879
BETA;4,0000;5;11622,00;2,593
BETA;4,0000;6;11481,00;2,784
BETA;4,0000;7;11481,00;2,765
BETA;4,0000;8;11574,00;2,621
BETA;4,0000;9;11908,00;2,660
BETA;4,0000;10;11481,00;2,737
BETA;5,0000;1;11796,00;2,498
BETA;5,0000;2;11732,00;2,790
BETA;5,0000;3;11319,00;2,958
BETA;5,0000;4;11627,00;2,932
BETA;5,0000;5;11510,00;2,935
BETA;5,0000;6;11894,00;2,697
BETA;5,0000;7;11890,00;3,068
BETA;5,0000;8;11514,00;2,614
BETA;5,0000;9;11894,00;2,708
BETA;5,0000;10;11485,00;2,856
P_0;0,0100;1;11526,00;2,694
P_0;0,0100;2;12180,00;2,625
P_0;0,0100;3;11894,00;2,536
P_0;0,0100;4;12077,00;2,708
P_0;0,0100;5;11894,00;2,630
P_0;0,0100;6;11894,00;2,625
P_0;0,0100;7;11894,00;2,584
